artist_id,track_name,duration_ms,peak_rank,weeks_on_chart
1,Mood (feat. iann dior),140533,1,85
2,Do It To It,157890,9,21
3,Easy On Me,224695,1,23
3,Oh My God,225149,3,18
3,Rolling in the Deep,228093,36,16
4,Do I Wanna Know?,272394,117,34
4,Why'd You Only Call Me When You're High?,161124,104,33
5,positions,172325,1,74
6,Volví,230125,10,34
7,The Nights,176658,44,54
7,Wake Me Up,247427,13,68
8,Butter,164442,2,44
8,Dynamite,199054,2,83
8,Permission to Dance,187585,5,26
9,Boy With Luv (feat. Halsey),229773,3,46
10,family ties (with Kendrick Lamar),252262,30,20
11,A Tu Merced,175918,52,19
11,Efecto,213061,7,14
11,Moscow Mule,245940,2,14
11,Tití Me Preguntó,243717,4,14
11,Yonaguni,206710,3,42
12,Ojitos Lindos,258299,3,14
13,Me Porto Bonito,178567,2,14
14,La Santa,206420,14,23
15,DÁKITI,205090,1,73
15,Tarot,237895,9,14
16,Party,227629,6,14
17,Callaita,250534,7,67
18,In The Stars,216410,54,15
19,Bored,180933,51,16
19,Happier Than Ever,298899,6,34
19,Happier Than Ever - Edit,151444,70,17
20,lovely (with Khalid),200186,24,205
21,Medallo,233453,48,18
22,Toxic,168020,23,23
23,Just the Way You Are,220734,133,22
23,Talking to the Moon,217867,45,50
24,Leave The Door Open,242096,5,55
25,love nwantiti (ah ah ah),145800,9,28
26,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,188369,14,27
27,One Kiss (with Dua Lipa),214847,2,83
28,Yellow,266773,101,66
29,My Universe,226198,3,26
30,Heather,198040,12,87
31,Gangsta's Paradise,240693,116,22
32,X ÚLTIMA VEZ,192477,18,20
33,Ain't Shit,174253,22,21
33,Get Into It (Yuh),138293,36,34
33,Need to Know,210560,6,41
33,Streets,226987,9,45
33,Woman,172627,6,37
34,Kiss Me More (feat. SZA),208667,3,50
35,You Right,186173,15,39
36,Knife Talk (with 21 Savage ft. Project Pat),242966,10,29
